Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (mm)	MAX Y (mm)	MAX Z (mm)	COG X (mm)	COG Y (mm)	COG Z (mm)
18	6907	5.76e-28	27.2	7.83	58	-14	2	50.9	-7.58	1.36
17	4607	2.42e-21	20.6	7.51	-60	-22	4	-54.2	-18.3	2.15
16	385	0.000465	3.33	4.54	-58	14	30	-50.4	16.9	24.2
15	249	0.00497	2.3	4.88	52	2	52	52.3	1.83	46.8
14	168	0.0249	1.6	4.59	-18	-8	-10	-18.5	-7.37	-9.35
13	108	0.0955	1.02	4.65	-42	28	-2	-43.5	29.5	-2.13
12	32	0.61	0.215	3.53	0	56	-12	-0.187	56.4	-12
11	30	0.638	0.195	3.96	-50	-10	48	-49.5	-8.36	47.6
10	28	0.666	0.177	3.57	-10	-14	8	-9.78	-13	9.41
9	23	0.739	0.132	4.07	14	-26	-6	14.6	-25.7	-6.09
8	18	0.811	0.091	3.91	-12	-28	-4	-12.9	-26.7	-4.43
7	13	0.879	0.0559	3.65	28	-20	-2	26.3	-21.1	-3.23
6	11	0.904	0.0438	3.5	6	-30	0	6.35	-30.2	-0.18
5	9	0.927	0.0329	3.76	62	-56	18	62.7	-55.8	16.5
4	7	0.947	0.0234	3.5	0	-22	6	1.68	-23.4	6.58
3	2	0.986	0.00619	3.33	0	-40	-4	0	-39	-4
2	1	0.991	0.00386	3.24	54	46	8	54	46	8
1	1	0.991	0.00386	3.38	-12	-12	18	-12	-12	18
