"date","inflation","unem","snp","gdp"
"1948-01-01","-10.2421","-3.4","",""
"1948-02-01","-9.482","-3.8","","9.5023"
"1948-03-01","-6.8182","-4","",""
"1948-04-01","-8.2727","-3.9","",""
"1948-05-01","-9.385","-3.5","","10.7998"
"1948-06-01","-9.375","-3.6","",""
"1948-07-01","-9.7616","-3.6","",""
"1948-08-01","-9.0625","-3.9","","11.7553"
"1948-09-01","-6.655","-3.8","",""
"1948-10-01","-6.1109","-3.7","",""
"1948-11-01","-4.7702","-3.8","","7.8371"
"1948-12-01","-2.7339","-4","",""
"1949-01-01","-1.3936","-4.3","",""
"1949-02-01","-1.0139","-4.7","","3.456"
"1949-03-01","-1.7447","-5","",""
"1949-04-01","-0.4198","-5.3","",""
"1949-05-01","0.4165","-6.1","","-0.4397"
"1949-06-01","0.9524","-6.2","",""
"1949-07-01","2.8689","-6.7","",""
"1949-08-01","2.9881","-6.8","","-2.2182"
"1949-09-01","2.5041","-6.6","",""
"1949-10-01","2.6327","-7.9","",""
"1949-11-01","1.904","-6.4","","-3.4556"
"1949-12-01","1.8295","-6.6","",""
"1950-01-01","2.0825","-6.5","",""
"1950-02-01","1.2547","-6.4","0.9971","2.106"
"1950-03-01","1.1292","-6.3","0.4065",""
"1950-04-01","1.1288","-5.8","3.8751",""
"1950-05-01","0.5855","-5.5","4.5657","6.993"
"1950-06-01","0.1672","-5.4","-5.804",""
"1950-07-01","-1.5612","-5","0.8479",""
"1950-08-01","-2.1097","-4.5","3.2511","12.8796"
"1950-09-01","-2.4842","-4.4","5.5918",""
"1950-10-01","-3.5065","-4.2","0.4113",""
"1950-11-01","-3.7975","-4.2","-0.1024","18.1919"
"1950-12-01","-5.8026","-4.3","4.7155",""
"1951-01-01","-7.9541","-3.7","6.0206",""
"1951-02-01","-9.4028","-3.4","0.6463","19.6302"
"1951-03-01","-9.4755","-3.4","-1.4679",""
"1951-04-01","-9.5983","-3.1","4.4227",""
"1951-05-01","-9.3395","-3","-4.0571","18.507"
"1951-06-01","-8.5846","-3.2","-2.6022",""
"1951-07-01","-7.6444","-3.1","6.8702",""
"1951-08-01","-6.8595","-3.1","3.9286","14.0357"
"1951-09-01","-6.9433","-3.3","-0.0859",""
"1951-10-01","-6.7755","-3.5","-1.3757",""
"1951-11-01","-6.9919","-3.5","-0.2616","11.3331"
"1951-12-01","-5.9648","-3.1","3.8899",""
"1952-01-01","-4.2159","-3.2","1.5566",""
"1952-02-01","-2.2455","-3.1","-3.6454","7.0749"
"1952-03-01","-1.9706","-2.9","4.7721",""
"1952-04-01","-2.0833","-2.9","-4.3086",""
"1952-05-01","-1.8469","-3","2.3156","4.9057"
"1952-06-01","-2.3139","-3","4.6102",""
"1952-07-01","-2.9718","-3.2","1.7628",""
"1952-08-01","-3.2096","-3.4","-1.4567","4.6333"
"1952-09-01","-2.305","-3.1","-1.9577",""
"1952-10-01","-2.026","-3","-0.0815",""
"1952-11-01","-1.4058","-2.8","4.6493","6.8985"
"1952-12-01","-0.9067","-2.7","3.5464",""
"1953-01-01","-0.7183","-2.9","-0.7151",""
"1953-02-01","-0.6816","-2.6","-1.8196","7.8567"
"1953-03-01","-0.9094","-2.6","-2.3552",""
"1953-04-01","-0.8692","-2.7","-2.6493",""
"1953-05-01","-0.8689","-2.5","-0.3249","8.5501"
"1953-06-01","-0.9046","-2.5","-1.63",""
"1953-07-01","-0.4123","-2.6","2.5269",""
"1953-08-01","-0.5995","-2.7","-5.7778","6.4113"
"1953-09-01","-0.9763","-2.9","0.1286",""
"1953-10-01","-0.9741","-3.1","5.0964",""
"1953-11-01","-0.5995","-3.5","0.8965","1.3903"
"1953-12-01","-0.599","-4.5","0.2019",""
"1954-01-01","-1.1261","-4.9","5.1189",""
"1954-02-01","-1.5043","-5.2","0.2684","-0.6692"
"1954-03-01","-1.1265","-5.7","3.021",""
"1954-04-01","-0.6369","-5.9","4.8998",""
"1954-05-01","-0.8614","-5.9","3.2909","-1.4275"
"1954-06-01","-0.635","-5.6","0.0685",""
"1954-07-01","-0.2613","-5.8","5.7172",""
"1954-08-01","0","-6","-3.4003","-0.0255"
"1954-09-01","0.2975","-6.1","8.3138",""
"1954-10-01","0.8534","-5.7","-1.9499",""
"1954-11-01","0.2607","-5.3","8.0808","3.5705"
"1954-12-01","0.3722","-5","5.0818",""
"1955-01-01","0.631","-4.9","1.8066",""
"1955-02-01","0.6299","-4.7","0.3549","7.2298"
"1955-03-01","0.5199","-4.6","-0.4897",""
"1955-04-01","0.2606","-4.7","3.7725",""
"1955-05-01","0.5941","-4.3","-0.1317","9.1802"
"1955-06-01","0.8537","-4.2","8.23",""
"1955-07-01","0.3723","-4","6.0687",""
"1955-08-01","0.4842","-4.2","-0.7813","10.0358"
"1955-09-01","-0.1492","-4.1","1.1348",""
"1955-10-01","-0.3743","-4.3","-3.0456",""
"1955-11-01","-0.3734","-4.2","7.487","9.368"
"1955-12-01","-0.3736","-4.2","-0.0659",""
"1956-01-01","-0.2241","-4","-3.65",""
"1956-02-01","-0.1491","-3.9","3.4687","6.4524"
"1956-03-01","-0.3733","-4.2","6.9255",""
"1956-04-01","-0.5226","-4","-0.2063",""
"1956-05-01","-0.9712","-4.3","-6.573","5.8266"
"1956-06-01","-1.6473","-4.3","3.9159",""
"1956-07-01","-1.9806","-4.4","5.1522",""
"1956-08-01","-2.2081","-4.1","-3.8064","4.8967"
"1956-09-01","-1.8622","-3.9","-4.5464",""
"1956-10-01","-2.5727","-3.9","0.5072",""
"1956-11-01","-2.3438","-4.3","-1.097","5.3678"
"1956-12-01","-2.8284","-4.2","3.5271",""
"1957-01-01","-3.1308","-4.2","-4.1783",""
"1957-02-01","-3.4996","-3.9","-3.2648","6.8331"
"1957-03-01","-3.6073","-3.7","1.9649",""
"1957-04-01","-3.7133","-3.9","3.6953",""
"1957-05-01","-3.5886","-4.1","3.6948","5.8192"
"1957-06-01","-3.5359","-4.3","-0.1265",""
"1957-07-01","-3.2979","-4.2","1.14",""
"1957-08-01","-3.5518","-4.1","-5.6147","6.2611"
"1957-09-01","-3.5466","-4.4","-6.192",""
"1957-10-01","-2.9444","-4.5","-3.206",""
"1957-11-01","-3.2715","-5.1","1.6074","3.1216"
"1957-12-01","-3.0402","-5.2","-4.1467",""
"1958-01-01","-3.5056","-5.8","4.2761",""
"1958-02-01","-3.2374","-6.4","-2.0624","-0.4675"
